city;city_ascii;state_name;county_name;norte-sur
Keddie;Keddie;California;Plumas;norte
Keeler;Keeler;California;Inyo;norte
Kelly Ridge;Kelly Ridge;California;Butte;norte
Kelseyville;Kelseyville;California;Lake;norte
Kennedy;Kennedy;California;San Joaquin;norte
Kensington;Kensington;California;Contra Costa;norte
Kentfield;Kentfield;California;Marin;norte
Kenwood;Kenwood;California;Sonoma;norte
Kerman;Kerman;California;Fresno;norte
Keswick;Keswick;California;Shasta;norte
Kettleman City;Kettleman City;California;Kings;norte
Keyes;Keyes;California;Stanislaus;norte
King City;King City;California;Monterey;norte
Kings Beach;Kings Beach;California;Placer;norte
Kingsburg;Kingsburg;California;Fresno;norte
Kingvale;Kingvale;California;Nevada;norte
Kirkwood;Kirkwood;California;Alpine;norte
Klamath;Klamath;California;Del Norte;norte
Knights Landing;Knights Landing;California;Yolo;norte
Knightsen;Knightsen;California;Contra Costa;norte
La Honda;La Honda;California;San Mateo;norte
La Riviera;La Riviera;California;Sacramento;norte
La Selva Beach;La Selva Beach;California;Santa Cruz;norte
La Vina;La Vina;California;Madera;norte
Ladera;Ladera;California;San Mateo;norte
Lafayette;Lafayette;California;Contra Costa;norte
Lagunitas-Forest Knolls;Lagunitas-Forest Knolls;California;Marin;norte
Lake Almanor Country Club;Lake Almanor Country Club;California;Plumas;norte
Lake Almanor Peninsula;Lake Almanor Peninsula;California;Plumas;norte
Lake Almanor West;Lake Almanor West;California;Plumas;norte
Lake California;Lake California;California;Tehama;norte
Lake City;Lake City;California;Modoc;norte
Lake Davis;Lake Davis;California;Plumas;norte
Lake Don Pedro;Lake Don Pedro;California;Mariposa;norte
Lake of the Pines;Lake of the Pines;California;Nevada;norte
Lake Wildwood;Lake Wildwood;California;Nevada;norte
Lakehead;Lakehead;California;Shasta;norte
Lakeport;Lakeport;California;Lake;norte
Lanare;Lanare;California;Fresno;norte
Larkfield-Wikiup;Larkfield-Wikiup;California;Sonoma;norte
Larkspur;Larkspur;California;Marin;norte
Las Lomas;Las Lomas;California;Monterey;norte
Lathrop;Lathrop;California;San Joaquin;norte
Laton;Laton;California;Fresno;norte
Laytonville;Laytonville;California;Mendocino;norte
Le Grand;Le Grand;California;Merced;norte
Lee Vining;Lee Vining;California;Mono;norte
Leggett;Leggett;California;Mendocino;norte
Lemon Cove;Lemon Cove;California;Tulare;norte
Lemon Hill;Lemon Hill;California;Sacramento;norte
Lemoore;Lemoore;California;Kings;norte
Lemoore Station;Lemoore Station;California;Kings;norte
Lewiston;Lewiston;California;Trinity;norte
Lexington Hills;Lexington Hills;California;Santa Clara;norte
Lincoln;Lincoln;California;Placer;norte
Lincoln Village;Lincoln Village;California;San Joaquin;norte
Linda;Linda;California;Yuba;norte
Lindcove;Lindcove;California;Tulare;norte
Linden;Linden;California;San Joaquin;norte
Lindsay;Lindsay;California;Tulare;norte
Linnell Camp;Linnell Camp;California;Tulare;norte
Litchfield;Litchfield;California;Lassen;norte
Little River;Little River;California;Mendocino;norte
Little Valley;Little Valley;California;Lassen;norte
Live Oak;Live Oak;California;Santa Cruz;norte
Livermore;Livermore;California;Alameda;norte
Livingston;Livingston;California;Merced;norte
Lockeford;Lockeford;California;San Joaquin;norte
Lockwood;Lockwood;California;Monterey;norte
Lodi;Lodi;California;San Joaquin;norte
Lodoga;Lodoga;California;Colusa;norte
Loleta;Loleta;California;Humboldt;norte
Loma Mar;Loma Mar;California;San Mateo;norte
Loma Rica;Loma Rica;California;Yuba;norte
